-0.2387	-0.0867	-3.1308
-0.2351	-0.0756	-3.1007
-0.2390	-0.1018	-3.0931
-0.2498	0.0115	-3.0748
-0.2583	-0.1173	-3.0727
-0.2563	-0.1084	-3.0653
-0.2441	-0.1144	-3.0451
-0.2719	-0.1293	-3.0407
-0.2668	-0.0811	-3.0371
-0.2507	-0.1136	-3.0329
-0.2352	-0.092	-3.0252
-0.2664	-0.1455	-3.0096
-0.2556	-0.0468	-3.0091
-0.2879	-0.1164	-3.0055
-0.2490	-0.0796	-3.0032
-0.2349	-0.1284	-3.0024
-0.2076	-0.2019	-3.0017
-0.2613	-0.1144	-3.0009
-0.2828	-0.1041	-2.9984
-0.2539	-0.1107	-2.996
-0.2727	-0.1394	-2.9958
-0.2234	-0.1163	-2.9951
-0.2389	-0.0887	-2.9949
-0.2187	-0.1285	-2.9948
-0.2238	-0.1124	-2.9941
-0.2200	-0.1254	-2.994
-0.2261	-0.1318	-2.9933
-0.2407	-0.0848	-2.9921
-0.2178	-0.215	-2.9889
-0.2488	-0.1063	-2.9888
-0.2446	-0.1131	-2.9885
-0.2557	-0.1432	-2.9819
-0.2558	-0.1298	-2.9816
-0.2326	-0.1371	-2.9809
-0.2444	-0.107	-2.9803
-0.2502	-0.1329	-2.9786
-0.2511	-0.1933	-2.9755
-0.2261	-0.142	-2.9729
-0.2582	-0.1455	-2.9726
-0.2586	-0.1517	-2.9714
-0.2541	-0.1552	-2.9709
-0.2673	-0.1248	-2.9684
-0.2577	-0.1427	-2.9634
-0.2446	-0.1398	-2.9546
-0.2273	-0.1309	-2.9504
-0.2506	-0.1304	-2.9474
-0.2009	-0.1612	-2.8431
-0.2183	-0.2139	-2.8173
-0.2089	-0.1825	-2.8048
-0.2109	-0.1641	-2.7272
-0.1828	-0.1605	-2.6384
-0.1008	-0.1783	-2.6292
-0.1787	-0.2538	-2.5848
-0.1662	-0.2367	-2.5421
-0.0886	-0.2205	-2.4712
-0.1615	-0.2438	-2.4611
-0.1446	-0.2165	-2.4146
-0.0829	-0.2604	-2.2114
0.2245	0.0956	0.1419
0.2664	0.116	0.1436
0.2719	0.1377	0.144
0.2448	0.1117	0.1453
0.2375	0.1247	0.1493
0.2458	0.1225	0.1511
0.2302	0.1098	0.1567
0.2376	0.1298	0.1567
0.2664	0.1288	0.1689
0.1822	0.2325	0.4902
0.1145	0.2456	0.6802
0.1390	-0.2348	1.403
0.1189	-0.2544	1.415
0.1394	-0.2658	1.4201
0.1262	-0.2679	1.4226
0.1147	-0.2684	1.4232
0.1242	-0.2413	1.4241
0.0954	-0.2606	1.4256
0.1225	-0.2456	1.4269
0.1344	-0.2673	1.4304
0.0907	-0.2526	1.4398
0.1125	-0.2477	1.4494
0.1146	-0.2698	1.474
0.1198	-0.2752	1.4976
0.1009	-0.2675	1.57
0.0865	-0.267	1.6416
-0.1138	0.2694	1.714
-0.1355	0.1875	1.7147
-0.1124	0.242	1.7245
-0.1273	0.2467	1.73
-0.1223	0.2499	1.731
-0.1449	0.2359	1.7351
-0.0961	0.2673	1.7367
-0.1566	0.2293	1.7403
-0.1325	0.2483	1.7404
-0.1371	0.234	1.754
-0.1313	0.2512	1.7549
-0.1461	0.2277	1.838
-0.1569	0.2389	1.88
-0.1713	0.1938	1.9058
-0.1435	0.2256	1.932
-0.0082	-0.2997	1.9459
-0.1679	0.2039	1.9675
-0.0388	-0.2572	2.0895
-0.1913	0.2055	2.1021
-0.2122	0.162	2.1969
-0.2316	0.1441	2.2029
-0.2216	0.1291	2.2076
-0.1139	-0.2569	2.2743
-0.2234	0.1546	2.3994
-0.2666	0.1119	2.4022
-0.2462	0.0761	2.4778
-0.1364	-0.2163	2.4828
-0.2755	0.0578	2.5812
-0.2773	0.0855	2.6017
-0.2543	0.0503	2.6072
-0.2700	0.0471	2.6644
-0.2656	0.0274	2.7575
-0.1357	-0.1393	2.8082
-0.2239	-0.1333	2.9091
-0.2641	-0.0307	2.9365
-0.2539	-0.0431	2.9418
-0.2715	-0.0375	2.9423
-0.2638	-0.0161	2.9435
-0.2257	-0.1515	2.9624
-0.2175	-0.1208	2.978
-0.2523	-0.0479	3.0251
-0.2567	-0.0689	3.0997
